deal_id,state,product_type,seller_channel,partnership,sourcing_vendor,closing_vendor,broker,deal_status,purchase_date,sold_date,purchase_year,holding_period_months,days_on_market,contract_price,purchase_price,rehab_and_interest,total_cost,loan_amount,total_cash_required,sales_price,sales_closing_costs,sales_closing_pct,sales_proceeds,actual_profit,unleveraged_irr,leveraged_irr,straight_roi,annualized_roi,bpo_value,bpo_variation,profit_estimate,profit_variation,rehab_estimate,rehab_actual_broker,rehab_differential,buy_side_cost_estimate,total_cost_estimate,total_cost_actual_w_rehab,debt_service,under_contract_flag,listed_flag,burden_profit,unleveraged_irr_raw,leveraged_irr_raw,profit_margin_pct
DEAL-038,NV,SFR,AUCTION,Partner_02,Vendor_02,Vendor_34,Broker_01,Listed,2011-10-06,2013-09-06,2011,23.0,701,47500.0,49323.0,16938.0,66261.0,31000.0,35261.0,104290.0,11278.0,0.10814076133857513,93012.0,26751.0,,0.45602806843817234,0.40372164621723183,0.2102116988149638,,,,,,,,,,16938.0,,False,True,26732.57,,0.45602806843817234,0.40372164621723183
DEAL-039,CA,SFR,AUCTION,Partner_03,Vendor_01,Vendor_14,Broker_11,Sold,2011-10-31,2012-02-03,2011,3.1,95,157500.0,166341.0,35441.0,201782.0,110250.0,91532.0,248134.0,19215.0,0.07743799721118427,228919.0,27137.0,,2.3880003578960896,0.13448672329543765,0.5167121473982604,200000.0,1.24067,11346.0,2.3917680239732064,0.0,,0.0,15154.0,15154.0,35441.0,,False,False,27075.89,,2.3880003578960896,0.13448672329543765
DEAL-040,NV,SFR,AUCTION,Partner_03,Vendor_01,Vendor_01,Broker_01,Sold,2011-11-17,2012-05-31,2011,6.4,196,35000.0,38943.0,10020.0,48963.0,21000.0,27963.0,65067.0,4646.0,0.07140332272887946,60421.0,11458.0,,1.1559881549328566,0.23401343871903274,0.43579033230840275,42000.0,1.5492142857142857,0.0,,0.0,,0.0,3695.0,3695.0,10020.0,,False,False,11444.42,,1.1559881549328566,0.23401343871903274
DEAL-041,NV,CONDO,SHORT SALE,Partner_03,Vendor_07,Vendor_01,Broker_01,Listed,2011-11-18,2013-04-05,2011,16.6,504,290000.0,328079.0,83499.0,411578.0,190000.0,221578.0,460000.0,32181.0,0.06995869565217391,427819.0,16241.0,,0.06494467612355947,0.03946032100841153,0.02857741501601232,,,,,,,,,,83499.0,,False,True,16128.48,,0.06494467612355947,0.03946032100841153
DEAL-042,NV,CONDO,AUCTION,Partner_02,Vendor_01,Vendor_04,Broker_01,Sold,2011-11-22,2012-03-05,2011,3.4,104,35500.0,40070.0,8817.4,48887.4,21300.0,27587.4,56338.0,4535.0,0.08049629024814513,51803.0,2915.6,,0.5190159659832716,0.059639089008619806,0.20931026430909838,,,,,,,0.0,,0.0,8817.4,,False,False,2901.826,,0.5190159659832716,0.059639089008619806
DEAL-043,NV,SFR,AUCTION,Partner_02,Vendor_01,Vendor_01,Broker_01,Listed,2011-11-28,2013-07-11,2011,19.4,591,34000.0,35857.0,13984.199999999997,49841.2,22000.0,27841.199999999997,96068.0,7315.0,0.0761439813465462,88753.0,38911.8,,0.9921289328485727,0.780715552595042,0.48216781167037276,,,,,,,,,,13984.199999999997,,False,True,38898.608,,0.9921289328485727,0.780715552595042
DEAL-044,GA,SFR,AUCTION,Partner_03,Vendor_03,Vendor_01,Broker_28,Sold,2011-11-29,2011-12-23,2011,0.8,24,110000.0,126661.0,11938.0,138599.0,83068.0,55531.0,175057.0,11150.0,0.06369353981845913,163907.0,25308.0,,,0.1825987200484852,2.7770222007373793,199000.0,0.8796834170854272,53959.0,0.4690227765525677,17500.0,,17500.0,1986.0,19486.0,11938.0,,False,False,25265.32,,565.1351118087769,0.1825987200484852
DEAL-045,GA,LAND,AUCTION,Partner_03,Vendor_03,Vendor_02,Broker_28,Listed,2011-11-29,2013-02-27,2011,15.0,456,12100.0,12977.0,649.48,13626.48,0.0,13626.48,19900.0,3058.0,0.1536683417085427,16842.0,3215.52,0.18947257399559023,,0.23597583528541488,0.1888841664017027,,,,,0.0,,,,,649.48,,False,True,3210.8251999999998,0.18947257399559023,,0.23597583528541488
DEAL-046,NV,SFR,AUCTION,Partner_02,Vendor_01,Vendor_01,Broker_01,Sold,2011-12-05,2012-03-20,2011,3.5,106,43000.0,46658.0,22970.4,69628.4,28000.0,41628.399999999994,90230.0,7275.0,0.0806272858251136,82955.0,13326.6,,2.66811678186059,0.1913960395470814,0.6590524003272142,,,,,,,0.0,,0.0,22970.4,,False,False,13309.916000000001,,2.66811678186059,0.1913960395470814
DEAL-047,NV,SFR,AUCTION,Partner_03,Vendor_01,Vendor_01,Broker_01,Sold,2011-12-07,2012-05-07,2011,5.0,152,49000.0,53187.0,9934.2,63121.2,32000.0,31121.199999999997,85000.0,6936.0,0.0816,78064.0,14942.8,,2.0178581960499287,0.23673187455244832,0.5684679882344976,75000.0,1.1333333333333333,10855.0,1.3765822201750344,3300.0,,3300.0,3595.0,6895.0,9934.2,,False,False,14923.787999999999,,2.0178581960499287,0.23673187455244832
